fecha_inicio,fecha_fin,dias_entre_fechas,dias_evaluados,dias_no_evaluados,hora_apertura,v_rango,v_espera,TP_Ticks,SL_ticks,Tipo_vela_rompimiento,duracion_vela,tick_size,dias_sin_entrada,TPs_alcanzados,SLs_alcanzados,Ticks_totales_TPs,Ticks_totales_SLs,Ticks_totales_estrategia,Margen_Utilidad_2,Absoluto_Ticks_totales,Margen_Utilidad
44938,45626,689,366,323,0.916666667,18,24,360,335,1,5,0.00001,123,142,101,51120,33835,17285,51.09,17285,51.09
44938,45626,689,366,323,0.916666667,18,24,360,310,1,5,0.00001,123,137,106,49320,32860,16460,50.09,16460,50.09
44938,45626,689,366,323,0.958333333,0,12,360,285,1,5,0.00001,108,138,120,49680,34200,15480,45.26,15480,45.26
44938,45626,689,366,323,0.958333333,0,18,360,285,1,5,0.00001,108,138,120,49680,34200,15480,45.26,15480,45.26
44938,45626,689,366,323,0.958333333,0,24,360,285,1,5,0.00001,108,138,120,49680,34200,15480,45.26,15480,45.26
44938,45626,689,366,323,0.958333333,0,3,360,285,1,5,0.00001,117,134,115,48240,32775,15465,47.19,15465,47.19
44938,45626,689,366,323,0.958333333,0,6,360,285,1,5,0.00001,110,137,119,49320,33915,15405,45.42,15405,45.42
44938,45626,689,366,323,0.958333333,0,1,360,285,1,5,0.00001,162,114,90,41040,25650,15390,60,15390,60
44938,45626,689,366,323,0.916666667,18,24,360,285,1,5,0.00001,123,131,112,47160,31920,15240,47.74,15240,47.74
44938,45626,689,366,323,0.958333333,0,1,360,310,1,5,0.00001,162,117,87,42120,26970,15150,56.17,15150,56.17
44938,45626,689,366,323,0.916666667,18,18,360,335,1,5,0.00001,137,132,97,47520,32495,15025,46.24,15025,46.24
44938,45626,689,366,323,0.625,0,6,310,335,1,5,0.00001,110,110,146,34100,48910,-14810,43.43,14810,43.43
44938,45626,689,366,323,0.916666667,18,18,360,310,1,5,0.00001,137,128,101,46080,31310,14770,47.17,14770,47.17
44938,45626,689,366,323,0.916666667,18,24,360,360,1,5,0.00001,123,142,101,51120,36360,14760,40.59,14760,40.59
44938,45626,689,366,323,0.041666667,0,12,335,360,0,5,0.00001,107,113,146,37855,52560,-14705,38.85,14705,38.85
44938,45626,689,366,323,0.041666667,0,18,335,360,0,5,0.00001,107,113,146,37855,52560,-14705,38.85,14705,38.85
44938,45626,689,366,323,0.041666667,0,24,335,360,0,5,0.00001,107,113,146,37855,52560,-14705,38.85,14705,38.85
44938,45626,689,366,323,0.958333333,0,3,360,310,1,5,0.00001,117,137,112,49320,34720,14600,42.05,14600,42.05
44938,45626,689,366,323,0.625,0,12,310,335,1,5,0.00001,107,112,147,34720,49245,-14525,41.83,14525,41.83
44938,45626,689,366,323,0.625,0,18,310,335,1,5,0.00001,107,112,147,34720,49245,-14525,41.83,14525,41.83
44938,45626,689,366,323,0.625,0,24,310,335,1,5,0.00001,107,112,147,34720,49245,-14525,41.83,14525,41.83
44938,45626,689,366,323,0.958333333,0,12,360,310,1,5,0.00001,108,141,117,50760,36270,14490,39.95,14490,39.95
44938,45626,689,366,323,0.958333333,0,18,360,310,1,5,0.00001,108,141,117,50760,36270,14490,39.95,14490,39.95
44938,45626,689,366,323,0.958333333,0,24,360,310,1,5,0.00001,108,141,117,50760,36270,14490,39.95,14490,39.95
44938,45626,689,366,323,0.958333333,0,6,360,310,1,5,0.00001,110,140,116,50400,35960,14440,40.16,14440,40.16
44938,45626,689,366,323,0.916666667,18,24,335,335,1,5,0.00001,123,143,100,47905,33500,14405,43,14405,43
44938,45626,689,366,323,0.958333333,0,1,360,335,1,5,0.00001,162,119,85,42840,28475,14365,50.45,14365,50.45
44938,45626,689,366,323,0.625,0,3,310,335,0,5,0.00001,181,74,111,22940,37185,-14245,62.1,14245,62.1
44938,45626,689,367,322,0.916666667,24,24,360,335,1,5,0.00001,119,140,108,50400,36180,14220,39.3,14220,39.3
44938,45626,689,366,323,0,0,24,360,310,0,5,0.00001,107,141,118,50760,36580,14180,38.76,14180,38.76
44938,45626,689,366,323,0.625,0,3,310,335,1,5,0.00001,126,103,137,31930,45895,-13965,43.74,13965,43.74
44938,45626,689,366,323,0.625,0,6,285,335,1,5,0.00001,110,116,140,33060,46900,-13840,41.86,13840,41.86
44938,45626,689,366,323,0,0,12,360,310,0,5,0.00001,108,140,118,50400,36580,13820,37.78,13820,37.78
44938,45626,689,366,323,0,0,18,360,310,0,5,0.00001,108,140,118,50400,36580,13820,37.78,13820,37.78
44938,45626,689,366,323,0.958333333,0,3,335,310,1,5,0.00001,117,141,108,47235,33480,13755,41.08,13755,41.08
44938,45626,689,366,323,0.583333333,3,18,260,360,0,5,0.00001,123,119,124,30940,44640,-13700,44.28,13700,44.28
44938,45626,689,366,323,0.958333333,0,1,360,360,1,5,0.00001,162,121,83,43560,29880,13680,45.78,13680,45.78
44938,45626,689,366,323,0.916666667,18,24,335,310,1,5,0.00001,123,138,105,46230,32550,13680,42.03,13680,42.03
44938,45626,689,366,323,0.625,0,3,310,360,0,5,0.00001,181,79,106,24490,38160,-13670,55.82,13670,55.82
44938,45626,689,366,323,0.583333333,3,12,260,360,0,5,0.00001,130,115,121,29900,43560,-13660,45.69,13660,45.69
44938,45626,689,366,323,0.958333333,0,6,310,310,1,5,0.00001,110,150,106,46500,32860,13640,41.51,13640,41.51
44938,45626,689,366,323,0.958333333,0,12,310,310,1,5,0.00001,108,151,107,46810,33170,13640,41.12,13640,41.12
