fecha_inicio,fecha_fin,dias_evaluados,hora_apertura,v_rango,v_espera,TP_Ticks,SL_ticks,Tipo_vela_rompimiento,duracion_vela,tick_size,dias_sin_entrada,TPs_alcanzados,SLs_alcanzados,Ticks_totales_TPs,Ticks_totales_SLs,Ticks_totales_estrategia,Margen_Utilidad
44938,45626,366,23:00,18,1,35,285,0,5,0.00001,328,38,0,1330,0,1330,Infinito - estrategia solo en TP o solo SL
44938,45626,366,23:00,18,1,35,310,0,5,0.00001,328,38,0,1330,0,1330,Infinito - estrategia solo en TP o solo SL
44938,45626,366,23:00,18,1,35,335,0,5,0.00001,328,38,0,1330,0,1330,Infinito - estrategia solo en TP o solo SL
44938,45626,366,23:00,18,1,35,360,0,5,0.00001,328,38,0,1330,0,1330,Infinito - estrategia solo en TP o solo SL
44938,45626,366,15:00,12,3,235,60,0,5,0.00001,332,1,33,235,1980,-1745,742.55
44938,45626,366,18:00,3,1,210,35,0,5,0.00001,319,1,46,210,1610,-1400,666.67
44938,45626,366,15:00,12,3,260,60,0,5,0.00001,332,1,33,260,1980,-1720,661.54
44938,45626,366,19:00,12,1,35,135,0,5,0.00001,336,29,1,1015,135,880,651.85
44938,45626,366,19:00,12,1,135,35,0,5,0.00001,336,1,29,135,1015,-880,651.85
44938,45626,366,13:00,24,3,160,35,0,5,0.00001,331,1,34,160,1190,-1030,643.75
44938,45626,366,21:00,24,1,85,35,0,5,0.00001,347,1,18,85,630,-545,641.18
44938,45626,366,18:00,24,1,35,110,0,5,0.00001,342,23,1,805,110,695,631.82
44938,45626,366,21:00,24,1,335,135,0,5,0.00001,347,1,18,335,2430,-2095,625.37
44938,45626,366,01:00,18,3,35,210,0,5,0.00001,277,87,2,3045,420,2625,625
44938,45626,366,15:00,12,3,285,60,0,5,0.00001,332,1,33,285,1980,-1695,594.74
44938,45626,366,18:00,3,1,235,35,0,5,0.00001,319,1,46,235,1610,-1375,585.11
44938,45626,366,21:00,24,1,360,135,0,5,0.00001,347,1,18,360,2430,-2070,575
44938,45626,366,01:00,18,3,35,235,0,5,0.00001,277,87,2,3045,470,2575,547.87
44938,45626,366,15:00,12,3,310,60,0,5,0.00001,332,1,33,310,1980,-1670,538.71
44938,45626,366,19:00,12,1,35,160,0,5,0.00001,336,29,1,1015,160,855,534.38
44938,45626,366,19:00,12,1,160,35,0,5,0.00001,336,1,29,160,1015,-855,534.38
44938,45626,366,15:00,12,3,185,35,0,5,0.00001,332,1,33,185,1155,-970,524.32
44938,45626,366,18:00,3,1,260,35,0,5,0.00001,319,1,46,260,1610,-1350,519.23
44938,45626,366,21:00,24,1,85,60,0,5,0.00001,347,2,17,170,1020,-850,500
44938,45626,366,21:00,24,1,335,110,0,5,0.00001,347,1,18,335,1980,-1645,491.04
44938,45626,366,15:00,12,3,335,60,0,5,0.00001,332,1,33,335,1980,-1645,491.04
44938,45626,366,21:00,24,1,260,85,0,5,0.00001,347,1,18,260,1530,-1270,488.46
44938,45626,366,01:00,18,3,35,260,0,5,0.00001,277,87,2,3045,520,2525,485.58
44938,45626,366,14:00,18,3,360,35,0,5,0.00001,306,1,59,360,2065,-1705,473.61
44938,45626,366,18:00,3,1,285,35,0,5,0.00001,319,1,46,285,1610,-1325,464.91
44938,45626,366,21:00,24,1,360,110,0,5,0.00001,347,1,18,360,1980,-1620,450
44938,45626,366,15:00,12,3,210,35,0,5,0.00001,332,1,33,210,1155,-945,450
44938,45626,366,15:00,12,3,360,60,0,5,0.00001,332,1,33,360,1980,-1620,450
44938,45626,366,19:00,12,1,35,185,0,5,0.00001,336,29,1,1015,185,830,448.65
44938,45626,366,19:00,12,1,185,35,0,5,0.00001,336,1,29,185,1015,-830,448.65
44938,45626,366,03:00,24,6,235,35,0,5,0.00001,291,2,73,470,2555,-2085,443.62
44938,45626,366,21:00,24,1,285,85,0,5,0.00001,347,1,18,285,1530,-1245,436.84
44938,45626,366,01:00,18,3,35,285,0,5,0.00001,277,87,2,3045,570,2475,434.21
44938,45626,366,18:00,3,1,310,35,0,5,0.00001,319,1,46,310,1610,-1300,419.35
44938,45626,366,04:00,12,6,235,35,0,5,0.00001,259,3,104,705,3640,-2935,416.31
44938,45626,366,04:00,12,6,360,35,0,5,0.00001,259,2,105,720,3675,-2955,410.42
44938,45626,366,16:00,24,3,160,35,0,5,0.00001,293,3,70,480,2450,-1970,410.42
44938,45626,366,23:00,18,1,35,260,0,5,0.00001,328,37,1,1295,260,1035,398.08
44938,45626,366,21:00,24,1,310,85,0,5,0.00001,347,1,18,310,1530,-1220,393.55
44938,45626,366,03:00,24,6,260,35,0,5,0.00001,291,2,73,520,2555,-2035,391.35
44938,45626,366,01:00,18,3,35,310,0,5,0.00001,277,87,2,3045,620,2425,391.13
44938,45626,366,19:00,12,1,35,210,0,5,0.00001,336,29,1,1015,210,805,383.33
44938,45626,366,19:00,12,1,210,35,0,5,0.00001,336,1,29,210,1015,-805,383.33
44938,45626,366,18:00,3,1,335,35,0,5,0.00001,319,1,46,335,1610,-1275,380.6
44938,45626,366,04:00,12,6,260,35,0,5,0.00001,259,3,104,780,3640,-2860,366.67
44938,45626,366,11:00,24,6,35,285,1,5,0.00001,249,114,3,3990,855,3135,366.67
44938,45626,366,14:00,24,3,235,60,0,5,0.00001,347,1,18,235,1080,-845,359.57
44938,45626,366,01:00,18,3,35,335,0,5,0.00001,277,87,2,3045,670,2375,354.48
44938,45626,366,18:00,24,1,35,85,0,5,0.00001,342,22,2,770,170,600,352.94
44938,45626,366,01:00,18,6,35,360,0,5,0.00001,224,139,3,4865,1080,3785,350.46
44938,45626,366,03:00,24,6,285,35,0,5,0.00001,291,2,73,570,2555,-1985,348.25
44938,45626,366,18:00,3,1,360,35,0,5,0.00001,319,1,46,360,1610,-1250,347.22
44938,45626,366,04:00,12,3,235,35,0,5,0.00001,304,2,60,470,2100,-1630,346.81
44938,45626,366,13:00,24,6,235,35,0,5,0.00001,304,2,60,470,2100,-1630,346.81
44938,45626,366,14:00,24,6,235,35,0,5,0.00001,335,1,30,235,1050,-815,346.81
44938,45626,366,19:00,12,1,35,110,0,5,0.00001,336,28,2,980,220,760,345.45
44938,45626,366,16:00,24,3,185,35,0,5,0.00001,293,3,70,555,2450,-1895,341.44
44938,45626,366,19:00,12,1,35,235,0,5,0.00001,336,29,1,1015,235,780,331.91
44938,45626,366,11:00,24,6,35,310,1,5,0.00001,249,114,3,3990,930,3060,329.03
44938,45626,366,08:00,12,3,35,260,0,5,0.00001,268,95,3,3325,780,2545,326.28
44938,45626,366,04:00,12,6,285,35,0,5,0.00001,259,3,104,855,3640,-2785,325.73
44938,45626,366,18:00,3,1,185,35,0,5,0.00001,319,2,45,370,1575,-1205,325.68
44938,45626,366,15:00,12,6,235,60,0,5,0.00001,313,3,50,705,3000,-2295,325.53
44938,45626,366,01:00,18,3,35,360,0,5,0.00001,277,87,2,3045,720,2325,322.92
44938,45626,366,15:00,18,3,360,60,1,5,0.00001,314,2,50,720,3000,-2280,316.67
44938,45626,366,14:00,24,3,260,60,0,5,0.00001,347,1,18,260,1080,-820,315.38
44938,45626,366,03:00,24,6,310,35,0,5,0.00001,291,2,73,620,2555,-1935,312.1
